Authorname,Comments
AJ&Smart,"Do you have more questions about Figma? Leave them in the comments below 👇
And if you want to become a UX designer but don't know how to get started check out our video on that topic 👉 https://youtu.be/t0aCoqXKFOU"
MIND THE HEADPHONE,"Can we all just take a minute to appreciate how well produced this was? Great scenario, great lightning, great audio, great animations... Very nice!"
April Damaso,"Instead of constantly clicking to select an element (especially within a group), you can press CMD, hover over the element you want, and click. It will select that element and save you from multiple (and very annoying) clicks. This was a big game changer for me that I learned while using Sketch. Works on Figma too."
bootsmade4walking,Very helpful! I like how you assume that people are coming from a baseline-zero/beginner and go into detail without making it too confusing or lengthy. A true skill! :)
Isaac Somuah,This is insane. You literally saved me from taking an 11-hour course. I just needed the essentials to mock up my personal website. Thanks man!
Eaunic Martinez,The best tutorial I've ever watched so far! Easy to understand and very clear! You literally answered all my questions! Thank you so much!!!
Howard Tiersky,"Great tutorial! And I like how you said it straight - design isn’t a skill that’s perfected overnight. It’s developed by practice and more practice! It’s great to learn from others too. Figma seems to be a great site to start with - it’s free, user-friendly, and supports collaborative work! It’s a great tool for beginners."
Mary Creative Co.,It's a great tutorial for the beginners! Hope this tutorial will help many people to take the first steps in design 👍
ME & MY ADVENTURES,"I’m an architect, now I can learn how this design tool works easily. Design is a big process, software is a tool. Great video.❤️👌"
Reb,Super helpful way to get started. I was getting a bit overwhelmed with the sheer volume of material when getting started in UI design. This gives me a way to start building. Thank you.
Myintthu Aung,You videos are incredibly helpful. You don't even know it. Unlike other tutorial videos where they talk for hours and hours and the audience don't get a point. You just go straight to the point and always explain in a way which works best for the beginners like myself. Thank you so much. Hope you get 1 million subscribers in no time!
Elle Pierson,"Such a well made video! You explained how to execute things in such an easier manner. I’m just learning Figma, and watching this video really helped jog my memory on a few of the tools I forgot about, so thank you! Can’t wait to start back up, and play around creating mock-ups."
Rosa Acevedo,This was an excellent tutorial! Thank you for providing a baseline for a non-design professional like myself.
ebaide85,This is awesome and quite inspiring for a fresher like me. every novice in UI/UX need to watch this. I'm almost giving up on designs until I found this video. Thank you for sharing this!
Francis Ikuerowo,"Thank you very much for this beginners' class. I learnt so much and I practised on my own. I got everything perfectly well.
You are a great tutor! Looking forward to watching more amazing videos of yours again."
janki mehta,I am just starting out as UI UX Designer and even the paid course on Udemy was nothing compared to what u showed in first few minutes… thank you so so much for sharing your knowledge …. I can’t wait to start a project and get the needed confidence 😊
Ludovico Sinz,"definitely a great ""getting started"" tutorial. Very well done, very clear. Thanks!"
Evgeny Pavlov,"great video, exactly what I was looking for. Many other instructors teach basics that are hardly applicable but learning the Figma UI while working with a template is a lot more inspiring. Also great that I learned where to find icons and stock images"
Carol Wohlwend,"Thank you! I'm starting a course in a few weeks and this makes me have a little more confidence, as I have no experience!  You are a great instructor!!!"
De Filmkijker,"Have been using Figma for some months figuring most out myself, but this was a good beginner tutorial. One tip to make picking colors quicker is just to press ""i"" on your keyboard, immediately will make the eyedropper pop up. Saves a few clicks!"
Peter Kim,"This is the exact ""learning by doing"" which is the fastest way to learn !  Thank you"
Manuel Diera,"Excellent video. Right to it and no fluff. Learned a ton, thanks!"
Kay Persephone,Great video! Straight to the point and easy to follow along. Perfect for beginners like myself. Thank you!
Stanciu Dragos,Amazing video! I have learned a ton from these 20 something minutes. It's not my first time trying to look into figma and tutorials/docs but it was all just so overwhelming before. Thanks a lot for the awesome explanations and clear tips.
Akinyemi Mathew,"This is a well-detailed Figma tutorial compare to others, nice animation, compelling audio, cool lightning and easy to understand approach without confusing me. I love how you do this. Kudos to you! :D"
